league_id,league_name,league_type,country,country_code,seasons,num_seasons,season_category,total_seasons_country,season_share,total_seasons_type,season_share_type
419,Premyer Liqa,League,Azerbaijan,AZ,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,30,0.5,1213,0.012366035
222,Regionalliga - Mitte,League,Austria,AT,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,90,0.16666666666666666,1213,0.012366035
221,Regionalliga - Ost,League,Austria,AT,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,90,0.16666666666666666,1213,0.012366035
223,Regionalliga - West,League,Austria,AT,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,90,0.16666666666666666,1213,0.012366035
110,Premier League,League,Wales,GB-WLS,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,29,0.5172413793103449,1213,0.012366035
112,Welsh Cup,Cup,Wales,GB-WLS,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",14,High,29,0.4827586206896552,199,0.070351759
299,Primera División,League,Venezuela,VE,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,30,0.5,1213,0.012366035
300,Segunda División,League,Venezuela,VE,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,30,0.5,1213,0.012366035
406,Professional League,League,Oman,OM,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
322,Premier League,League,Jamaica,JM,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
387,League,League,Jordan,JO,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",14,High,14,1,1213,0.011541632316570486
388,1. Division,League,Kazakhstan,KZ,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
330,Premier League,League,Kuwait,KW,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
119,Superliga,League,Denmark,DK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,75,0.2,1213,0.012366035
120,1. Division,League,Denmark,DK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,75,0.2,1213,0.012366035
124,Denmark Series - Group 1,League,Denmark,DK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,75,0.2,1213,0.012366035
125,Denmark Series - Group 2,League,Denmark,DK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,75,0.2,1213,0.012366035
126,Denmark Series - Group 3,League,Denmark,DK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,75,0.2,1213,0.012366035
234,Liga Nacional,League,Honduras,HN,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
381,HKFA 1st Division,League,Hong-Kong,HK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,30,0.5,1213,0.012366035
380,Premier League,League,Hong-Kong,HK,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,30,0.5,1213,0.012366035
273,Magyar Kupa,Cup,Hungary,HU,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,199,0.075376884
271,NB I,League,Hungary,HU,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,1213,0.012366035
272,NB II,League,Hungary,HU,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,1213,0.012366035
